date,code,hq_px,business_amount
2025-01-02,000001.SZ,11.73,583500.0
2025-01-02,000002.SZ,7.25,556110.0
2025-01-02,600000.SS,10.3,241900.0
2025-01-03,000001.SZ,11.44,553000.0
2025-01-03,000002.SZ,7.17,497800.0
2025-01-03,600000.SS,10.12,279200.0
2025-01-06,000001.SZ,11.38,666200.0
2025-01-06,000002.SZ,6.99,814000.0
2025-01-06,600000.SS,10.13,325400.0
2025-01-07,000001.SZ,11.42,444300.0
2025-01-07,000002.SZ,6.96,283900.0
2025-01-07,600000.SS,10.11,170400.0
2025-01-08,000001.SZ,11.5,308000.0
2025-01-08,000002.SZ,7.02,338300.0
2025-01-08,600000.SS,10.26,123000.0
