code,date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,log_mv,log_cmv
000001.SZ,20250102,11.43,0.009377,0.022298,1.38,4.7747,4.7651,0.5335,1.3468,1.4922,8.4427,8.4427,19405918198.0,19405617528.0,8160498090.0,221809645003.0,221806208345.0,26.125085396052484,26.12506990220584
000002.SZ,20250102,7.11,0.012171000000000001,0.018268,1.06,6.9744,,0.3623,0.1821,0.2146,0.0,,11930709471.0,9716935865.0,6474125074.0,84827344339.0,69087414000.0,25.16388378459407,24.958638409306754
000001.SZ,20250103,11.38,0.0059499999999999996,0.014150000000000001,0.83,4.7538,4.7442,0.5312,1.3409,1.4857,8.4798,8.4798,19405918198.0,19405617528.0,8160498090.0,220839349093.0,220835927469.0,26.120701346943495,26.12068585309912
000002.SZ,20250103,7.0,0.011576999999999999,0.017376,1.07,6.8665,,0.3567,0.1793,0.2113,0.0,,11930709471.0,9716935865.0,6474125074.0,83514966297.0,68018551054.99999,25.148291689831993,24.94304631454909
000001.SZ,20250106,11.44,0.005594,0.013302000000000001,0.77,4.7789,4.7692,0.534,1.3479,1.4935,8.4353,8.4353,19405918198.0,19405617528.0,8160498090.0,222003704185.0,222000264520.0,26.125959904197508,26.12594441034951
000002.SZ,20250106,6.98,0.008756,0.013142000000000001,0.75,6.8469,,0.3557,0.1788,0.2107,0.0,,11930709471.0,9716935865.0,6474125074.0,83276352108.0,67824212337.99999,25.145430457556003,24.94018508227248
000001.SZ,20250107,11.51,0.0038540000000000002,0.009164,0.54,4.8081,4.7984,0.5372,1.3562,1.5026,8.384,8.384,19405918198.0,19405617528.0,8160498090.0,223362118459.0,223358657747.0,26.132060140980276,26.13204464713184
000002.SZ,20250107,7.05,0.007415000000000001,0.011128,0.65,6.9155,,0.3593,0.1806,0.2128,0.0,,11930709471.0,9716935865.0,6474125074.0,84111501771.00002,68504397847.99999,25.155409157606208,24.950163782314306
000001.SZ,20250108,11.5,0.005475,0.013019000000000001,0.85,4.804,4.7943,0.5368,1.355,1.5013,8.3913,8.3913,19405918198.0,19405617528.0,8160498090.0,223168059277.00003,223164601572.0,26.1311909536156,26.131175459768507
000002.SZ,20250108,6.96,0.009393,0.014097,0.93,6.8273,,0.3547,0.1783,0.21,0.0,,11930709471.0,9716935865.0,6474125074.0,83037737918.0,67629873620.0,25.142561015121082,24.93731563983419
