code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,vwap,name,is_st,is_delisted
000001.SZ,20250102,11.73,11.77,11.39,11.43,11.7,-0.27,-0.023077,181959699.0,2102923078.0000002,127.7841,11.5571,平安银行,0,0
000002.SZ,20250102,7.25,7.36,7.07,7.11,7.26,-0.15,-0.020661,118266605.0,854487563.0,181.704,7.2251,万科A,0,0
000001.SZ,20250103,11.44,11.54,11.36,11.38,11.43,-0.05,-0.004374,115468044.0,1320520978.0,127.7841,11.4362,平安银行,0,0
000002.SZ,20250103,7.17,7.18,6.96,7.0,7.11,-0.11,-0.015470999999999999,112491515.99999999,795154845.0,181.704,7.0686,万科A,0,0
000001.SZ,20250106,11.38,11.48,11.22,11.44,11.38,0.06,0.005272,108553630.0,1234305778.0,127.7841,11.3705,平安银行,0,0
000002.SZ,20250106,6.99,7.01,6.89,6.98,7.0,-0.02,-0.002857,85085661.0,591154773.0,181.704,6.9478,万科A,0,0
000001.SZ,20250107,11.42,11.53,11.37,11.51,11.44,0.07,0.006119,74786288.0,858329049.0,127.7841,11.4771,平安银行,0,0
000002.SZ,20250107,6.96,7.05,6.92,7.05,6.98,0.07,0.010029,72047105.0,504087513.0,181.704,6.9966,万科A,0,0
000001.SZ,20250108,11.5,11.63,11.4,11.5,11.51,-0.01,-0.0008690000000000001,106238601.0,1223598997.0,127.7841,11.5175,平安银行,0,0
000002.SZ,20250108,7.02,7.03,6.83,6.96,7.05,-0.09,-0.012766,91268396.0,632775676.0,181.704,6.9331,万科A,0,0
