code,trade_time,close,open,high,low,vol,amount,date,pre_close,change,pct_chg
000001.SZ,2025-01-02 09:30:00,11.73,11.73,11.76,11.72,1357100.0,15928357.0,20250102,11.7,0.03,0.26
000001.SZ,2025-01-02 09:31:00,11.74,11.74,11.77,11.74,2569900.0,30186496.0,20250102,11.73,0.01,0.09
000001.SZ,2025-01-02 09:32:00,11.73,11.74,11.75,11.73,1062600.0,12485258.0,20250102,11.74,-0.01,-0.09
000001.SZ,2025-01-02 09:33:00,11.75,11.73,11.75,11.73,634400.0,7451894.0,20250102,11.73,0.02,0.17
000001.SZ,2025-01-02 09:34:00,11.76,11.75,11.76,11.75,636700.0,7482204.0,20250102,11.75,0.01,0.09
000001.SZ,2025-01-02 09:35:00,11.75,11.75,11.76,11.75,1149100.0,13505398.0,20250102,11.76,-0.01,-0.09
000001.SZ,2025-01-02 09:36:00,11.73,11.74,11.75,11.73,1248800.0,14658506.0,20250102,11.75,-0.02,-0.17
000001.SZ,2025-01-02 09:37:00,11.75,11.73,11.75,11.73,1095200.0,12857075.0,20250102,11.73,0.02,0.17
000001.SZ,2025-01-02 09:38:00,11.74,11.74,11.74,11.73,633429.0,7434207.0,20250102,11.75,-0.01,-0.09
000001.SZ,2025-01-02 09:39:00,11.74,11.74,11.74,11.73,478100.0,5610978.0,20250102,11.74,0.0,0.0
000001.SZ,2025-01-02 09:40:00,11.73,11.74,11.75,11.73,882356.0,10353551.0,20250102,11.74,-0.01,-0.09
000001.SZ,2025-01-02 09:41:00,11.72,11.73,11.74,11.71,1440915.0,16894292.0,20250102,11.73,-0.01,-0.09
000001.SZ,2025-01-02 09:42:00,11.71,11.71,11.72,11.71,1261900.0,14781838.0,20250102,11.72,-0.01,-0.09
000001.SZ,2025-01-02 09:43:00,11.71,11.71,11.72,11.7,1924500.0,22540096.0,20250102,11.71,0.0,0.0
000001.SZ,2025-01-02 09:44:00,11.73,11.73,11.75,11.72,913685.0,10719480.0,20250102,11.71,0.02,0.17
000001.SZ,2025-01-02 09:45:00,11.73,11.72,11.74,11.72,525500.0,6166879.0,20250102,11.73,0.0,0.0
000001.SZ,2025-01-02 09:46:00,11.75,11.74,11.75,11.73,556900.0,6541137.0,20250102,11.73,0.02,0.17
000001.SZ,2025-01-02 09:47:00,11.74,11.74,11.76,11.74,586100.0,6886434.0,20250102,11.75,-0.01,-0.09
000001.SZ,2025-01-02 09:48:00,11.73,11.74,11.74,11.72,517300.0,6069415.0,20250102,11.74,-0.01,-0.09
000001.SZ,2025-01-02 09:49:00,11.73,11.73,11.73,11.72,312400.0,3663525.0,20250102,11.73,0.0,0.0
000001.SZ,2025-01-02 09:50:00,11.71,11.73,11.73,11.71,745400.0,8738843.0,20250102,11.73,-0.02,-0.17
000001.SZ,2025-01-02 09:51:00,11.7,11.71,11.72,11.7,936400.0,10963882.0,20250102,11.71,-0.01,-0.09
000001.SZ,2025-01-02 09:52:00,11.69,11.71,11.71,11.68,2235600.0,26143404.0,20250102,11.7,-0.01,-0.09
000001.SZ,2025-01-02 09:53:00,11.69,11.7,11.7,11.69,409600.0,4791206.0,20250102,11.69,0.0,0.0
000001.SZ,2025-01-02 09:54:00,11.68,11.69,11.69,11.68,947300.0,11071667.0,20250102,11.69,-0.01,-0.09
000001.SZ,2025-01-02 09:55:00,11.69,11.68,11.7,11.67,1605300.0,18750832.0,20250102,11.68,0.01,0.09
000001.SZ,2025-01-02 09:56:00,11.7,11.69,11.7,11.68,264200.0,3088287.0,20250102,11.69,0.01,0.09
000001.SZ,2025-01-02 09:57:00,11.69,11.69,11.7,11.69,377200.0,4410205.0,20250102,11.7,-0.01,-0.09
000001.SZ,2025-01-02 09:58:00,11.7,11.69,11.7,11.69,188300.0,2201537.0,20250102,11.69,0.01,0.09
000001.SZ,2025-01-02 09:59:00,11.69,11.69,11.7,11.69,574798.0,6722155.5,20250102,11.7,-0.01,-0.09
000001.SZ,2025-01-02 10:00:00,11.69,11.7,11.7,11.69,174500.0,2040605.0,20250102,11.69,0.0,0.0
000001.SZ,2025-01-02 10:01:00,11.68,11.69,11.7,11.68,362402.0,4235310.5,20250102,11.69,-0.01,-0.09
000001.SZ,2025-01-02 10:02:00,11.68,11.68,11.68,11.67,1578700.0,18433334.0,20250102,11.68,0.0,0.0
000001.SZ,2025-01-02 10:03:00,11.68,11.67,11.68,11.67,500300.0,5842226.0,20250102,11.68,0.0,0.0
000001.SZ,2025-01-02 10:04:00,11.67,11.68,11.68,11.66,1442700.0,16838414.0,20250102,11.68,-0.01,-0.09
000001.SZ,2025-01-02 10:05:00,11.66,11.66,11.66,11.65,1406900.0,16402113.0,20250102,11.67,-0.01,-0.09
000001.SZ,2025-01-02 10:06:00,11.64,11.66,11.66,11.64,1574000.0,18335672.0,20250102,11.66,-0.02,-0.17
000001.SZ,2025-01-02 10:07:00,11.63,11.64,11.64,11.63,946400.0,11009858.0,20250102,11.64,-0.01,-0.09
000001.SZ,2025-01-02 10:08:00,11.64,11.63,11.64,11.63,660200.0,7679178.0,20250102,11.63,0.01,0.09
000001.SZ,2025-01-02 10:09:00,11.64,11.64,11.65,11.63,1345857.0,15663578.0,20250102,11.64,0.0,0.0
